,Animal,Day,Experimental condition,Stimulus class,Stimulus orientation,Frame,Width
263,Naive,All,Tuning,,240,30,22
264,Naive,All,Tuning,,270,0,41
265,Naive,All,Tuning,,270,1,46
266,Naive,All,Tuning,,270,2,49
267,Naive,All,Tuning,,270,3,52
268,Naive,All,Tuning,,270,4,55
269,Naive,All,Tuning,,270,5,52
270,Naive,All,Tuning,,270,6,48
271,Naive,All,Tuning,,270,7,46
272,Naive,All,Tuning,,270,8,44
273,Naive,All,Tuning,,270,9,43
274,Naive,All,Tuning,,270,10,45
275,Naive,All,Tuning,,270,11,53
276,Naive,All,Tuning,,270,12,45
277,Naive,All,Tuning,,270,13,52
278,Naive,All,Tuning,,270,14,46
279,Naive,All,Tuning,,270,15,46
280,Naive,All,Tuning,,270,16,47
281,Naive,All,Tuning,,270,17,40
282,Naive,All,Tuning,,270,18,49
283,Naive,All,Tuning,,270,19,49
284,Naive,All,Tuning,,270,20,48
285,Naive,All,Tuning,,270,21,47
286,Naive,All,Tuning,,270,22,49
287,Naive,All,Tuning,,270,23,42
288,Naive,All,Tuning,,270,24,45
289,Naive,All,Tuning,,270,25,44
290,Naive,All,Tuning,,270,26,49
291,Naive,All,Tuning,,270,27,56
292,Naive,All,Tuning,,270,28,50
293,Naive,All,Tuning,,270,29,37
294,Naive,All,Tuning,,270,30,35
295,Naive,All,Tuning,,300,0,37
296,Naive,All,Tuning,,300,1,42
297,Naive,All,Tuning,,300,2,43
298,Naive,All,Tuning,,300,3,43
299,Naive,All,Tuning,,300,4,48
300,Naive,All,Tuning,,300,5,45
301,Naive,All,Tuning,,300,6,44
302,Naive,All,Tuning,,300,7,47
303,Naive,All,Tuning,,300,8,43
304,Naive,All,Tuning,,300,9,47
305,Naive,All,Tuning,,300,10,48
306,Naive,All,Tuning,,300,11,44
307,Naive,All,Tuning,,300,12,50
308,Naive,All,Tuning,,300,13,49
309,Naive,All,Tuning,,300,14,43
310,Naive,All,Tuning,,300,15,45
311,Naive,All,Tuning,,300,16,44
312,Naive,All,Tuning,,300,17,45
313,Naive,All,Tuning,,300,18,43
314,Naive,All,Tuning,,300,19,47
315,Naive,All,Tuning,,300,20,50
316,Naive,All,Tuning,,300,21,48
317,Naive,All,Tuning,,300,22,47
318,Naive,All,Tuning,,300,23,48
319,Naive,All,Tuning,,300,24,43
320,Naive,All,Tuning,,300,25,44
321,Naive,All,Tuning,,300,26,40
322,Naive,All,Tuning,,300,27,42
323,Naive,All,Tuning,,300,28,40
324,Naive,All,Tuning,,300,29,54
325,Naive,All,Tuning,,300,30,35
326,Naive,All,Tuning,,330,0,56
327,Naive,All,Tuning,,330,1,65
328,Naive,All,Tuning,,330,2,62
329,Naive,All,Tuning,,330,3,67
330,Naive,All,Tuning,,330,4,67
331,Naive,All,Tuning,,330,5,65
332,Naive,All,Tuning,,330,6,67
333,Naive,All,Tuning,,330,7,65
334,Naive,All,Tuning,,330,8,65
335,Naive,All,Tuning,,330,9,66
336,Naive,All,Tuning,,330,10,65
337,Naive,All,Tuning,,330,11,62
338,Naive,All,Tuning,,330,12,65
339,Naive,All,Tuning,,330,13,67
340,Naive,All,Tuning,,330,14,65
341,Naive,All,Tuning,,330,15,64
342,Naive,All,Tuning,,330,16,64
343,Naive,All,Tuning,,330,17,64
344,Naive,All,Tuning,,330,18,64
345,Naive,All,Tuning,,330,19,65
346,Naive,All,Tuning,,330,20,66
347,Naive,All,Tuning,,330,21,62
348,Naive,All,Tuning,,330,22,59
349,Naive,All,Tuning,,330,23,60
350,Naive,All,Tuning,,330,24,58
351,Naive,All,Tuning,,330,25,60
352,Naive,All,Tuning,,330,26,86
353,Naive,All,Tuning,,330,27,65
354,Naive,D1,Tuning,,0,0,27
355,Naive,D1,Tuning,,0,1,31
356,Naive,D1,Tuning,,0,2,29
357,Naive,D1,Tuning,,0,3,34
358,Naive,D1,Tuning,,0,4,42
359,Naive,D1,Tuning,,0,5,52
360,Naive,D1,Tuning,,0,6,51
361,Naive,D1,Tuning,,0,7,38
362,Naive,D1,Tuning,,0,8,42
363,Naive,D1,Tuning,,0,9,35
364,Naive,D1,Tuning,,0,10,44
365,Naive,D1,Tuning,,0,11,42
366,Naive,D1,Tuning,,0,12,40
367,Naive,D1,Tuning,,0,13,53
368,Naive,D1,Tuning,,0,14,43
369,Naive,D1,Tuning,,0,15,39
370,Naive,D1,Tuning,,0,16,39
371,Naive,D1,Tuning,,0,17,41
372,Naive,D1,Tuning,,0,18,44
373,Naive,D1,Tuning,,0,19,38
